Composite.Element.REF	TCGA-2H-A9GF-01	TCGA-2H-A9GI-01	TCGA-2H-A9GL-01	TCGA-2H-A9GQ-01	TCGA-2H-A9GR-01	TCGA-IC-A6RE-01	TCGA-IC-A6RF-01	TCGA-IG-A3I8-01	TCGA-IG-A3QL-01	TCGA-IG-A3Y9-01	TCGA-IG-A3YA-01	TCGA-IG-A3YB-01	TCGA-IG-A3YC-01	TCGA-IG-A4P3-01	TCGA-IG-A4QS-01	TCGA-IG-A4QT-01	TCGA-IG-A50L-01	TCGA-IG-A51D-01	TCGA-IG-A5B8-01	TCGA-IG-A5S3-01	TCGA-IG-A625-01	TCGA-IG-A6QS-01	TCGA-IG-A8O2-01	TCGA-IG-A97H-01	TCGA-IG-A97I-01	TCGA-JY-A6F8-01	TCGA-JY-A6FA-01	TCGA-JY-A6FB-01	TCGA-JY-A6FD-01	TCGA-JY-A6FE-01	TCGA-JY-A6FG-01	TCGA-JY-A939-01	TCGA-JY-A93E-01	TCGA-JY-A93F-01	TCGA-L5-A43C-01	TCGA-L5-A43E-01	TCGA-L5-A43H-01	TCGA-L5-A43I-01	TCGA-L5-A43J-01	TCGA-L5-A43M-01	TCGA-L5-A4OE-01	TCGA-L5-A4OF-01	TCGA-L5-A4OG-01	TCGA-L5-A4OH-01	TCGA-L5-A4OI-01	TCGA-L5-A4OJ-01	TCGA-L5-A4ON-01	TCGA-L5-A4OP-01	TCGA-L5-A4OQ-01	TCGA-L5-A4OR-01	TCGA-L5-A4OS-01	TCGA-L5-A4OT-01	TCGA-L5-A4OU-01	TCGA-L5-A4OW-01	TCGA-L5-A4OX-01	TCGA-L5-A88W-01	TCGA-L5-A891-01	TCGA-L5-A8NE-01	TCGA-L5-A8NF-01	TCGA-L5-A8NI-01	TCGA-L5-A8NJ-01	TCGA-L5-A8NK-01	TCGA-L5-A8NL-01	TCGA-L5-A8NQ-01	TCGA-L5-A8NS-01	TCGA-L5-A8NT-01	TCGA-L5-A8NV-01	TCGA-L5-A8NW-01	TCGA-L7-A56G-01	TCGA-L7-A6VZ-01	TCGA-LN-A49K-01	TCGA-LN-A49L-01	TCGA-LN-A49M-01	TCGA-LN-A49N-01	TCGA-LN-A49O-01	TCGA-LN-A49P-01	TCGA-LN-A49R-01	TCGA-LN-A49S-01	TCGA-LN-A49U-01	TCGA-LN-A49V-01	TCGA-LN-A49W-01	TCGA-LN-A49X-01	TCGA-LN-A49Y-01	TCGA-LN-A4A1-01	TCGA-LN-A4A2-01	TCGA-LN-A4A3-01	TCGA-LN-A4A4-01	TCGA-LN-A4A5-01	TCGA-LN-A4A6-01	TCGA-LN-A4A8-01	TCGA-LN-A4A9-01	TCGA-LN-A4MQ-01	TCGA-LN-A4MR-01	TCGA-LN-A5U5-01	TCGA-LN-A5U6-01	TCGA-LN-A5U7-01	TCGA-LN-A7HW-01	TCGA-LN-A7HX-01	TCGA-LN-A7HY-01	TCGA-LN-A7HZ-01	TCGA-LN-A8HZ-01	TCGA-LN-A8I0-01	TCGA-LN-A8I1-01	TCGA-LN-A9FO-01	TCGA-LN-A9FP-01	TCGA-LN-A9FQ-01	TCGA-LN-A9FR-01	TCGA-M9-A5M8-01	TCGA-Q9-A6FU-01	TCGA-Q9-A6FW-01	TCGA-RE-A7BO-01	TCGA-S8-A6BV-01	TCGA-S8-A6BW-01	TCGA-VR-A8EO-01	TCGA-VR-A8EP-01	TCGA-VR-A8EQ-01	TCGA-VR-A8Q7-01	TCGA-VR-AA4D-01	TCGA-VR-AA7B-01	TCGA-X8-AAAR-01	TCGA-XP-A8T6-01	TCGA-XP-A8T7-01	TCGA-Z6-A8JD-01	TCGA-Z6-A8JE-01	TCGA-Z6-A9VB-01	TCGA-Z6-AAPN-01
YWHAB|14-3-3_beta	0.46362059675	0.21716139075	0.23758322025	0.0136309127500001	0.1534482865	-0.00668385874999983	0.0479742905000001	-0.1377251245	-0.1783580795	-0.0357794317500001	0.0879170882500001	-0.063740811	0.5442166345	0.37507848475	-0.00388339924999995	0.72571408525	0.3105007705	-0.00781315899999999	0.074703515	-0.17291409675	0.163641063	0.29525637075	-0.02723411625	0.0265637115	-0.16895294875	0.4670201725	-0.1880437965	0.178070215	-0.07668028875	0.08135628225	-0.223919628	0.69539373875	0.0525987449999999	0.09095504725	-0.0104248472499999	0.0108294467500001	0.0329820172500001	0.0287181452500001	-0.037233438	0.067625413	0.0896173957499999	-0.225038545	0.052813662	0.01332448925	-0.0388753185	-4.86225000000118e-05	0.193222111	-0.0205051454999999	0.11602654275	-0.000657341999999866	0.0128969115000001	0.3682674825	-0.0854826079999999	-0.079932984	0.1915847835	-0.1781873255	0.58832664125	0.11322088525	0.08318627275	-0.10945569	-0.26526564675	-0.07773690525	0.1801428345	0.10591505475	-0.0546359739999999	-0.0608167982500001	0.1351571835	0.0265323347500001	-0.02608815525	0.25968177425	-0.21923889025	-0.11418387975	0.0578759812500001	-0.06014714825	0.0262913867500001	-0.13049395575	-0.1475361715	0.0270009904999999	0.024135631	0.00396281375000002	0.37199559975	0.26916185425	-0.20627719475	-0.253824672	-0.0422867467499998	0.35107276725	-0.13158650775	-0.04978410125	-0.0374008412499999	-0.00750385999999997	-0.056336403	-0.1041772935	-0.1239761855	-0.19022598525	-0.148285113	-0.1026324125	0.0151786895000001	-0.1159282105	0.21283889575	0.10627247975	-0.1300213125	0.1671738155	0.0826977632500001	-0.18355271575	-0.0531097637499999	-0.0509075139999998	-0.1451493235	0.13687652325	-0.11745521	-0.0435011685	0.364291388	0.3222051975	-0.21443615825	0.33325555725	-0.2350390795	0.363350508	0.0907227522499999	-0.11870912775	0.03616757325	0.5898283875	-0.0454651459999999	-0.25989787425	-0.05357685225	-0.1136617565	-0.000165278999999963	0.04397892625
YWHAE|14-3-3_epsilon	0.00638421324999988	-0.0454650797499999	0.13091016975	-0.11459937575	0.00575862399999988	-0.08717153525	-0.0475524710000002	0.00247590800000003	0.0336269339999998	-0.0347830112500003	0.06780836875	0.0602555825	0.590881001	-0.13000307275	0.0833322982499999	0.21863392875	0.29096292	-0.00710510150000015	0.1331421895	-0.28921879625	0.00716547049999983	0.0988336292499999	0.0461648142499999	0.189614223	-0.0352386012500001	0.128124558	-0.0783184600000001	-0.0124800855	0.0218162247499998	0.0758052707499999	-0.0166551305000001	-0.00398292375000009	-0.0539096895000003	0.24183757775	-0.13625631175	0.10864680925	0.07845456275	-0.12008172925	0.1401249685	-0.1849480585	-0.0804073967500002	-0.3958832995	0.0712562755	-0.35921075025	0.101998302	-0.0152259490000002	-0.1091024555	0.00830173699999992	0.00290107524999994	-0.0376719395000001	0.112083483	0.143276348	0.1408524175	-0.1329716735	-0.112853733	0.187091671	0.32767496475	0.11336042575	-0.0883769147500002	-0.2379677745	-0.25060830525	0.10476602825	0.0440384769999998	0.00992554124999995	-0.2210384115	-0.12859526375	-0.0341361000000001	0.00613411824999993	0.12279861525	0.0331477237499999	-0.10004872875	0.0269442407499999	0.11370917775	0.0823566372499998	0.32148804825	0.0766641407499999	0.115179965	0.0307782659999998	0.1713793175	0.0847283572499999	0.14474147025	0.0656748897500001	-0.0189163982500001	-0.0886640345000001	0.15496674975	0.0688659747499999	0.00887013074999987	0.26161194125	0.20387698625	0.0435298204999999	0.0482897134999999	0.00262937899999988	0.107064413	0.0777875442499999	-0.1324165025	0.0856398099999999	0.0733691309999999	0.103789613	0.04566539925	0.22548143425	0.00437166699999969	0.0324565769999998	9.72749999883504e-07	-0.0180582392500001	0.0546860537499999	-0.0485313825	0.0799884409999999	-0.0320178112500001	0.0252810394999999	-0.10679438	0.0143032184999997	0.0176603999999999	-0.0555659187500001	0.0780061357499999	-0.123234966	0.1687123295	0.0185222997499997	-0.19115586225	-0.0106864652500002	0.00816185899999988	-0.1378958305	-0.15115898675	-0.0127752787500001	-0.10887077	0.1270093245	-0.15618198025
YWHAZ|14-3-3_zeta	-0.11259536625	0.39783619275	0.96077116225	0.67267164575	-0.2163407575	-0.11392966375	0.0469201964999999	-0.1661038755	0.1700513265	-0.31288485875	-0.33144581375	-0.820572112	0.8782710685	0.0687092957500001	0.32405522875	-0.31903501675	0.9547088935	-0.209399868	0.106859497	-0.31702145475	-0.367410815	0.25494844775	-0.0143215012500001	0.6341301645	0.26932429425	0.2860482955	-0.2912182445	-0.362635604	-0.09907836475	-0.50677674375	1.122070637	0.56068328375	-0.337593825	0.80582904725	-0.25874810325	0.0425000687499999	0.14229822525	0.0503802372500001	0.234276317	-0.363566889	-0.35770465325	0.0422082879999999	0.436508616	0.73447459325	0.7138574815	-0.3504121785	-0.286226852	-0.7030280725	-0.17732230225	-0.774129669	-0.6600810915	-0.2979381075	-0.024281843	0.89273485	0.1686486545	-0.2585396185	0.31532365525	0.14802101625	-0.10615334425	-0.0700765329999999	-0.15159286875	0.48873153875	-0.3689962635	0.71826662775	0.101904567	-0.0127912002500001	-0.2884023035	-0.21196112625	-0.31563749625	0.11030646025	0.39098975875	0.25343520225	-0.20982674075	-0.0849053542500001	0.18555456775	-0.36122149275	-0.0472075545000001	-0.2820052455	-0.29296405	0.28575157775	-0.46754637625	-0.0525318597499997	-0.51054856175	0.945086526	0.25663034825	-0.30513234375	0.81164135625	-0.11244110525	-0.27113194625	-0.515215509	0.089624558	0.1748152215	-0.1006766485	-0.43733500925	0.850063487	0.5369897995	0.0925278355000002	0.5778527625	-0.0900384212500001	-0.33635921925	0.1318966875	-0.3432681945	0.26165231225	-0.16078619175	0.12074683525	-0.192627943	-0.0324218315000001	-0.14394311375	0.4156125	0.2105732575	-0.022296127	-0.1506891225	-0.40184692325	0.62242002825	-0.0928742665	0.331925026	0.0224485942499998	0.16994343225	0.23013700125	0.3696904645	-0.184534939	0.65080362375	0.48901112875	-0.4685361815	-0.43834471	0.29688213225
EIF4EBP1|4E-BP1	-0.14964679125	0.0540148057500001	-0.16048756875	-0.13796767525	0.4541504755	-0.27474752475	-0.2788186805	-0.0834585014999998	0.1808448145	0.39414965125	-0.36722749475	-0.102907543	1.0136161965	-0.40892023225	0.14844879275	-0.630566277749999	-0.3845379445	0.0943228329999999	-0.00211280999999999	-0.32725453775	-0.974220615	-0.10018509725	-0.0212133192500001	-0.0471714894999999	-0.00527405874999996	0.9572644445	-0.3307228165	-0.018976905	-0.000175225749999994	0.98341192125	0.909882644	-0.17458000725	-0.0682977920000001	0.92063524025	-0.22917305125	-0.04725042625	-0.41304514675	-0.09031869575	-0.071448216	-0.110195273	-0.11423322225	-0.229928464	0.351368569	0.0286680662499998	0.1381037605	-0.1234448415	0.00340091200000002	-0.3929012835	-0.31989300925	0.242128338	0.0101852615	-0.9225884125	0.2294352	0.111058954	-0.0219934405	0.5047196825	0.51521124525	0.22112786925	-0.38586523625	0.521804935	0.05695993225	0.24505000675	-0.00628814650000001	-0.23706304025	-0.293801511	-0.41509416925	-0.3110892345	-0.0041581122499999	-0.15466860825	0.39143088625	0.0921777837499999	-0.11415601075	0.46819914225	-0.31936837425	0.77357480375	-0.25239479175	0.1010730815	0.2605265285	0.536353969	0.32807453975	-0.33359629125	-0.81528894375	1.24628857725	0.500258694	0.54260784025	-0.68749971975	0.02218700725	0.61094531875	0.35113720175	-0.61529243	0.176550822	-0.3121701045	0.3257432525	-0.16611244425	-0.0461146179999999	0.1106162725	-0.0224465664999999	0.1819074795	-0.56240965525	0.07609443975	0.0961803244999999	-0.2303780265	-0.12425488175	0.43372586225	0.17321539725	-0.446798932	0.3683425925	0.19563648425	0.165860611	-0.4371402085	0.107026991	-0.3769205405	0.96768414275	0.0844543612499999	0.2213280255	0.166677786	0.15311484725	0.18762228025	-0.71686571875	-0.7308328025	-0.0962683319999999	0.03694922875	0.44965868875	0.1606069165	0.515483293	-0.20723064475
EIF4EBP1|4E-BP1_pS65	0.01177689625	0.0120522502500001	-0.18578890125	0.08077765225	-0.116411915	0.18798330475	-0.148359225	-0.153847906	-0.0524167250000001	0.21277715475	0.18697846775	0.0255872255	-0.0930823049999998	-0.00117837474999994	-0.11168250375	0.0719506667500003	-0.406057744	0.1724804345	-0.0759780795	0.48551638875	0.5392573555	-0.18701195875	-0.25619695575	-0.051671629	-0.00372809924999996	-0.031714055	-0.128857826	-0.0791857644999999	0.000175225750000001	0.19736871975	0.2755076955	-0.12400441575	0.1715711375	0.28069388775	-0.18121980475	-0.20130440075	-0.30377026725	0.08152539275	-0.0461884005	-0.0306019215	-0.13418674875	0.0915894255	-0.0708202245	-0.0479611232500001	-0.098815886	0.0859903069999999	0.1709716495	-0.138255729	-0.19621042675	-0.2669611115	0.01145162	-0.0172535199999998	-0.1013726155	-0.0745494595	-0.078293908	0.142763776	-0.13956988325	-0.17387653725	-0.17440815875	0.1459406145	0.0344640337500001	-0.07052492475	-0.023565849	0.10401665825	0.2836341705	0.38091025625	-0.031432445	0.19210811425	-0.17217760175	-0.17366480925	-0.20317869975	0.02341038475	0.17451085275	-0.13908872375	0.10205209225	-0.07122706325	-0.358349661	0.0345943629999999	0.1419328975	-0.08062733875	-0.17630137275	-0.17776192225	0.15995459375	-0.1876222375	-0.0956097492499999	-0.20660730025	-0.35162557125	-0.0131139747500001	-0.15560761675	-0.0852479205000001	0.2509166785	0.191745997	-0.054774018	-3.04937499999922e-05	-0.0987474605	-0.241468963	-0.0684247299999999	0.082551997	-0.14981760575	-0.21110599875	0.172926142	-0.212387015	0.04542813675	-0.11055285925	0.17423650575	0.2036835415	0.141158747	-0.0906440042499999	-0.000213581500000004	-0.291053026	-0.2127534825	0.024653351	0.12761872125	-0.03490466125	0.060474776	0.00651668150000012	0.0647953027499998	0.0873784067500001	-0.08126962525	-0.360619744	0.0487008105000001	0.18330134525	0.11550263525	0.042163158	-0.1164642305	0.00517885275000002
EIF4EBP1|4E-BP1_pT37_T46	-0.81140972125	-0.14844314925	-0.55180315375	0.17014000975	0.6614482175	0.63867302525	0.3117912295	0.4643211455	0.4851174365	0.48747654325	0.12720417625	0.368797167	0.8059369075	-0.00534787424999993	-0.21506776525	0.59296333525	-1.5345313835	0.297974916	-0.556450567	-0.07106780775	-0.667111476	-0.78223472825	-0.33736422925	-0.8029155285	0.19124648225	-0.4524835385	0.2825982535	0.053685406	-0.46093979575	0.82945248125	1.408226138	-0.70493597125	-0.288126785	1.11960849425	0.15153154575	0.71663159675	-0.71052317775	0.22551143325	-0.456951347	1.119035747	-0.15100398725	0.846390664	0.058127639	0.92807633625	-0.5275388835	0.4194454245	0.134043319	0.3688401575	0.21417940275	-0.227937548	0.6047795575	-0.0904628674999999	0.4645867	-0.120942964	-0.2461945045	0.7296601365	0.29409848525	0.03163314625	-0.71950858725	0.604675417	0.80081200625	-0.11749153025	-0.4493861195	0.20883312375	0.371474629	0.18115769475	0.2927841505	0.57500521775	0.32270881775	-0.52919637175	0.26290988575	0.33870461325	0.23730353525	-0.19800528425	-1.36850116925	-0.14278071175	-0.8208480165	0.5836552315	-0.668101302	-0.36403603725	-0.35424032625	-0.37193127175	1.50813783725	0.271293627	-0.24669361575	-0.08571364175	-0.84931345875	-0.24443619025	-0.23921152625	0.037969134	-0.347884926	0.2500580275	0.2101724505	0.36216483775	-0.940778605	-0.0203779695	-0.3238798985	-0.1990554105	0.16033034975	-0.14460491425	-0.7171037005	-0.1662580475	0.19239343625	0.23253284625	0.17006845725	-0.32001652	-1.2980919075	-0.45398204875	-0.202551503	-0.3458882885	-0.477740459	0.2559131855	1.50952042275	0.53306356325	0.4357141865	-0.385347689	0.28583877625	0.68736435325	0.01022876625	-0.1095989865	0.296497259	0.73944167275	0.80122384375	-0.0372976155	0.462020292	0.11517236925
EIF4EBP1|4E-BP1_pT70	-0.27339526125	0.25675096275	0.00545483925	0.12585184375	0.0521082035	-0.10712506675	-0.1041013895	0.0154314865000001	0.0547618504999999	0.27305666425	0.05167262025	-0.063135957	0.9628131025	0.16068222275	-0.15383295425	0.76359777725	0.1261845635	0.230349459	0.013315841	-0.09487912075	0.138233148	0.15774848575	-0.33101084425	0.0109050825	0.20462324925	-0.3175324715	-0.0731272445	0.189129545	-0.07633811075	0.86119637925	0.223085117	-0.20246810725	-0.0601049730000001	0.15640233925	-0.16443660825	0.17987026775	-0.15902454875	-0.25780923675	-0.075104776	0.040402651	-0.0873225162500001	-0.057228305	-0.036187538	0.14980363125	-0.1463369965	0.1385496115	-0.048107451	-0.1066738255	0.0439470517500001	-0.197633656	0.1285014155	0.1366757755	-0.108916142	-0.230133928	-0.00918892449999997	0.3104817965	0.35422083325	0.16226827225	0.10199709975	0.117001009	0.14502446925	-0.04588620625	-0.2362489525	-0.0288458952499999	-0.116442666	-0.20347267325	0.0456483565	0.0428999707500001	-0.00913741425000003	-0.11356011875	-0.10161841225	0.00409178524999998	0.23094099725	-0.04681215425	-0.34206520925	-0.10085396375	-0.3217894525	0.2033451795	-0.361870928	-0.33643746325	0.14921359775	0.34948642425	0.74342141725	-0.104517092	-0.0558214417499999	0.24592476725	-0.12012867175	-0.10258205325	0.12349536575	0.256691164	0.280658826	0.1790716875	0.2458085375	0.21071158875	0.010317031	-0.0686052755	0.1028118955	-0.0875285295	0.28096753075	0.04313330275	-0.00165089050000017	0.0628404315000001	0.38077961125	-0.20560791875	0.33013735825	-0.281359803	-0.2674087395	0.34465429425	0.0998531639999999	-0.0497648725	0.016423113	0.0328121495	0.85249341575	0.14947595925	0.0796052065	-0.131551898	0.18156985425	0.17109863625	-0.33341979475	0.2825011725	0.142228845	0.18545847075	0.25477730375	-0.0976677295	0.121768625	0.38035749425
TP53BP1|53BP1	0.19312286875	0.16307337675	-0.65412888775	0.93300486075	-0.1240937395	0.14417625525	-0.4170706765	0.5222921005	0.1302117905	-0.10910318975	-0.21683124375	0.230923221	-1.8581977515	-1.18404004225	0.09977867375	-1.09624761175	-1.3031242985	0.15526481	0.072160781	0.52250913325	-2.037796545	-1.39048912425	-0.10973546125	-0.1774451935	-0.08591240575	-0.4993628865	-0.0299530595	-1.488138791	-0.01910806075	0.0936981062499999	-0.252881386	0.00913028774999997	-0.388416235	-1.67279417375	0.03627779875	-0.25499534925	-0.13206890875	0.27150715425	0.248646639	0.187321997	0.00805190474999995	0.309311701	-0.640759356	-0.00871077375000007	-0.3439185875	-0.3693355455	-0.099372616	0.0551272145	-0.50419359825	0.529086496	-0.00736433049999996	-0.6638740535	-0.704551474	0.372680607	-0.4838554475	-0.0697767855	-0.88143354475	-0.98524856575	0.25131301675	0.266548049	0.22862644925	-0.25205710625	0.4719180245	-0.55481433825	-0.033414556	-0.21759548025	-0.0217997645	0.0978250487500001	0.37897734475	-0.35167106375	0.31328798275	0.46109203925	0.14155466925	-0.00350567225000004	0.32945652375	0.36947185425	0.1854203275	-0.1610873355	0.679279905	0.66951372275	-0.44068813725	-1.32237426075	0.71280889025	-0.0992532970000001	-0.56302962275	-1.16230391975	0.14556921025	0.20888244275	-0.91075605825	-0.976493825	-0.358020003	0.2719006285	-0.0735238695000001	-0.19926831325	0.172475958	0.0947008825	0.5897416775	-0.0770351215	-0.29887108225	0.16779485175	0.3312589765	-0.6782917175	-0.40860137975	0.48801657625	-0.51713906075	-0.619303839	0.3142558155	-1.59890675375	0.107745864	-0.5668022915	-1.146327109	-0.4172669605	0.69009079275	-0.88832745575	0.3221078665	-0.311530429	0.0684655052499998	-0.16157632175	-1.13961505875	-0.5793390215	-0.306584201	-0.02949384825	-0.62165389325	0.8243939085	0.032617702	-0.52266895675
ARAF|A-Raf_pS299	0.02812939875	-0.0550626962499999	0.41842987325	-0.02082530925	-0.0230820815	0.27965858125	0.0119574495	-0.0632279354999998	0.0111447554999999	-0.14950665075	0.05677551125	0.227294405	-0.0495277584999996	-0.0455493872499999	-0.09166099625	0.29040525725	0.0942830385000001	-0.110004753	0.111865316	-0.11229593475	0.103001006	0.22568657875	0.06557285075	0.1364767565	-0.0233395617499999	-0.2329108865	-0.0147138845	-0.106385477	-0.15054617775	-0.0590858467500001	-0.00214913900000002	0.03032087675	0.102975399	-0.08012749675	0.01441682675	-4.28824999998412e-06	0.06105816225	0.03995240725	-0.074045571	0.627760956	-0.24281675525	-0.267997353	-0.041721925	-0.00244653175000009	-0.0601415355000001	0.0696363574999999	-0.164420261	0.0591390575	0.0310627237500001	-0.176933566	0.1320143305	0.1968684795	-0.129299554	-0.046532204	-0.1097350575	0.0725715485	0.03182012125	0.10327471425	-0.02341048225	-0.04926508	-0.00574525274999993	-0.16630222625	0.0233930585	0.0469677877500001	0.144523473	0.10892186175	0.1224098175	-0.0497087062499999	0.05151914575	-0.01133906575	-0.13048419825	0.28448879125	-0.00451218774999998	-0.12065693525	0.15303207775	-0.02021088875	-0.0219021885000001	0.1673200365	4.38380000000183e-05	-0.13794362425	0.0581456577500001	-0.00744850974999978	0.08838743725	-0.063483164	-0.0501836417499999	0.00653030225000006	0.13688095025	-0.0346890932500001	-0.00794477324999998	0.0595136019999999	-0.000979600000000053	0.1619070375	-0.1452175955	-0.05386325725	0.0475472800000001	0.0444833315	-0.1216252935	-0.0446159155	0.15011364875	-0.03105746725	0.0297373484999999	-0.0202988924999999	0.08619258625	0.06839859525	0.0804587062500001	-0.0317427759999999	-0.0280635025	0.0115087512500001	0.023847852	-0.0822879255	-0.0780016360000001	-0.0163945455	0.02952233675	0.0232722442499999	-0.0567213705	0.146242295	-0.0856445727500001	0.0299665722500001	0.19501832625	0.1259772815	0.00153812500000011	0.11539903275	-0.03742838725	-0.0620036815	0.101782929	0.09755332925
ACACA|ACC1	0.31752751175	0.44445703175	-0.10708890375	0.01573421775	0.1593255785	0.60979550725	0.0362299805	-0.3648387465	0.1733068505	-0.99897401275	-0.60223691775	-0.158909504	-2.2274628265	-0.54968443025	-0.16036827825	-1.85872977275	-0.3299259005	0.356492918	-0.900238538	-0.60191921175	-0.418046307	-0.19073694325	0.19147829175	0.5603970665	-0.20749682575	-0.6179887485	0.4484550475	1.010518001	-0.24524097775	0.15456017225	0.26543749	-0.30876460125	0.355828131	-0.47333605675	-1.19436078825	-0.27906813025	-0.24775890675	-0.50810973775	-0.626314144	1.378442901	-0.23328784825	-0.493333555	1.002948202	-0.40201198975	-0.5877354895	0.1430339665	-0.903909121	-0.5438149165	0.28496924175	-0.228503617	-0.2370049185	-1.1698245715	0.191538746	-0.052850302	-1.0791947495	0.7681911105	-0.34007834175	0.70213586325	-0.80833107725	0.347747298	0.00409534025000008	1.07205888675	-0.4157240245	-0.23090911725	-0.658258018	-0.33166032725	-0.7174016295	-0.23653792425	-0.48367390725	-0.53399134075	-0.19070601525	1.34857775125	0.72175985925	-0.37049423925	0.40691510275	-0.27045878775	0.0995386885	0.6878598975	0.651336316	-0.08216853225	-0.61038671825	-1.04275320875	0.0836561282500001	-0.16980041	0.88489121925	-0.31023052175	-0.16361583175	0.94905271075	0.91431371075	0.685118734	0.0497740359999999	0.2196559905	0.3063314125	0.51104466775	-0.79018682	0.4821641315	-0.2621280785	0.3451094405	-0.21741990825	0.0260312947499999	0.6982454225	-0.5179139365	1.56049340525	0.86069027725	0.64591508325	-0.522909093	-0.000578857499999974	0.27864727825	0.405534748	-0.3208912665	0.0240284169999999	-0.5809917755	0.27074226575	-0.04974500775	0.3506656315	0.275216816	0.25762938225	0.98087343525	-0.20508548375	-0.6887751055	0.24879323	0.43490482375	-0.01429865225	-0.0496508495	0.366193381	1.00404836725
