"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGF1",374.008411397629,-2.11846678442856,0.268883591303433,-7.87875070456752,3.30670480784281e-15,4.86614679522148e-11
"AFF3",63.3702620140524,-1.90117319895181,0.255024464108069,-7.45486596982387,8.99592338341124e-14,6.61920042551399e-10
"OGN",199.549307140947,-2.31278021644482,0.314448154712842,-7.35504464498091,1.90863314706761e-13,9.36248179741564e-10
"SYNPO2",2416.39698067004,-2.12306408191242,0.294094299188059,-7.21899094193193,5.23747435244387e-13,1.28457787617607e-09
"LDB3",55.7305875970057,-1.95731201461633,0.269899268173668,-7.25200934356325,4.10633550761758e-13,1.28457787617607e-09
"SMAD9",92.2380663404917,-1.70084623240437,0.235363261073574,-7.22647291954665,4.95699416920694e-13,1.28457787617607e-09
"MGP",1474.5792435526,-1.62195453418214,0.226004016273953,-7.17666243690144,7.14337687172969e-13,1.50174191491963e-09
"CPXM2",279.737409110607,-1.44693273343292,0.204903068098981,-7.06154742755712,1.64658523830831e-12,2.73962876765174e-09
"TTC28",558.727538282112,-0.997405222458053,0.141292967512995,-7.05912856113183,1.67550006176037e-12,2.73962876765174e-09
"COL14A1",816.731031223925,-1.46213839510636,0.209687046495058,-6.97295526617481,3.10351333671571e-12,4.56713022631084e-09
"PLN",206.875135691139,-2.03617265823363,0.295777575195758,-6.88413466398191,5.8139856865334e-12,7.4967901715913e-09
"MEDAG",167.221761635268,-1.56509420945016,0.227584295662367,-6.87698685401413,6.11317491567652e-12,7.4967901715913e-09
"FAT3",38.5624284287673,-2.03779913835258,0.297903666301995,-6.84046344124813,7.89373910674209e-12,8.29744747820119e-09
"SFT2D1",476.709123570503,0.533946995924753,0.0779861941335401,6.84668615845575,7.5580275418431e-12,8.29744747820119e-09
"ADAMTSL3",110.168862918483,-1.79093566133539,0.266629054129959,-6.71695613660491,1.85559795426007e-11,1.82046529965941e-08
"EGR2",361.441891213226,-1.59579298581342,0.240037753363481,-6.64809165830245,2.96917396471264e-11,2.73089775404445e-08
"CASQ2",68.1541179868599,-2.231849392386,0.337850373173442,-6.60602908743935,3.94765358691807e-11,3.07243810308783e-08
"PTCH2",41.0498425498411,-1.59649618905949,0.241698900265306,-6.60531010818442,3.96686082893916e-11,3.07243810308783e-08
"RUNX1T1",48.3891185610077,-1.4787712122422,0.223363838131601,-6.6204593573063,3.58084361537251e-11,3.07243810308783e-08
"PRICKLE2",453.17202072263,-1.10103936670352,0.167484774295976,-6.57396692524294,4.89921187647175e-11,3.60484009870792e-08
"MYOCD",129.990788459055,-1.96348617891049,0.300650872290827,-6.53078490659146,6.54259025728678e-11,4.37639810119237e-08
"RNF150",88.2779208925016,-1.7676393588111,0.270636264342331,-6.53142092064644,6.51486183059377e-11,4.37639810119237e-08
"TNS1",5038.87519682987,-1.31804163916051,0.202331781511674,-6.51425905170743,7.30493356308209e-11,4.67388705714417e-08
