"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLA2G4D",59.0713808744293,2.70912279851758,0.414807357610132,6.53103844185865,6.53152302397264e-11,9.61309558668293e-07
"GSG2",244.968407887637,-0.897978868672609,0.143341366159259,-6.264617763409,3.73741025862239e-10,2.75036020932022e-06
"FAM167A",312.582599275545,-2.0399591251481,0.33381486580093,-6.11104936939693,9.8978138349893e-10,3.64190060058431e-06
"STAC",84.0137625964384,-2.02665108488123,0.330181417587943,-6.13799256083644,8.35707750479901e-10,3.64190060058431e-06
"ATG9B",208.532322997944,2.23133076632172,0.38529995368896,5.79115243840127,6.99050934162627e-09,2.05148487953653e-05
"S1PR4",37.6251676022925,1.41082753366777,0.244894074723193,5.76097047371378,8.36316705885256e-09,2.05148487953653e-05
"DAPK2",126.286736127835,1.25467885804321,0.222068218973395,5.6499703732641,1.6047549225235e-08,3.37411184995727e-05
"DEFB1",425.864105787931,2.19961271333332,0.39574075665728,5.55821627247312,2.7254554958849e-08,4.4570282209371e-05
"BUB1",957.266934770375,-0.804733717990691,0.14636648673677,-5.49807360914489,3.83962659531477e-08,5.13742038453116e-05
"UTP20",1061.52331838456,-0.65054946651525,0.120309390027539,-5.40730417107377,6.39804356818909e-08,7.84720043638392e-05
"SDR9C7",98.4940699415999,2.53234892218589,0.472129038494835,5.36367966321053,8.15434647196429e-08,8.00104475829136e-05
"STARD7",3491.50352781057,-0.640762337481691,0.11934527221824,-5.36897964680129,7.91833541230963e-08,8.00104475829136e-05
"INCENP",1062.25530489371,-0.602216230241609,0.112271439905781,-5.36393076232917,8.14301279267298e-08,8.00104475829136e-05
"KIF18B",919.433253983426,-0.699952146593687,0.131813220630906,-5.31018165889174,1.0951602004655e-07,0.000100741048940321
"ACTC1",112.799852272163,2.56767435725877,0.488451811461989,5.25676084519667,1.46614771158446e-07,0.000111663939585785
"WISP2",70.0907190518648,2.23843545766729,0.425523913136952,5.26042224317219,1.43724973129198e-07,0.000111663939585785
"RYR3",55.2843683905538,1.83397940482029,0.348943589222427,5.25580483913478,1.47378512989705e-07,0.000111663939585785
"PRR11",419.435529039214,-0.903523515994572,0.172380648172489,-5.2414440111078,1.59324822075111e-07,0.000111663939585785
"POLA2",732.283005302553,-0.700328532211505,0.1335270950884,-5.24484211798258,1.56416210550341e-07,0.000111663939585785
"SH3BGR",31.6897937261619,1.29681874624333,0.248073794545036,5.22755234434043,1.7176877792536e-07,0.000114913312432066
"SCUBE1",78.4118412625898,2.70763065913043,0.520159361294119,5.20538677299595,1.93592960270423e-07,0.000123882660402612
"IL33",242.21088203827,2.01664486008129,0.391603938781928,5.14970525157129,2.60896128458035e-07,0.000159027415972937
"GOLIM4",1438.5168041289,-0.887695481956274,0.172844245691004,-5.13581159967119,2.80928985955726e-07,0.000159027415972937
"CAD",3037.23521430852,-0.639809309276453,0.124571511565102,-5.13608048291271,2.80527558974768e-07,0.000159027415972937
"QSOX2",711.85456519725,-0.705315251576732,0.137537768534714,-5.1281568625909,2.92592606847622e-07,0.000159495481021604
"KRT10",5474.3725258792,1.91414894548807,0.374639651696458,5.10930686813408,3.23342820589331e-07,0.000164102056325303
"YEATS2",2803.55215939407,-0.6942538467256,0.136473100984278,-5.08711124550163,3.63558599946914e-07,0.000178361849133956
"SUSD2",236.601293579332,1.5634191939139,0.308268673958428,5.07161228495352,3.94459410139641e-07,0.000187279148336621
"SYT8",159.358148419053,2.2014281058067,0.435930557347242,5.0499513482216,4.41922601354482e-07,0.000189590141348908
"CLEC1A",40.3455821840771,1.07197299244094,0.212420135264698,5.046475425247,4.5003474683078e-07,0.000189590141348908
"BUB1B",912.060820535532,-0.681997467597235,0.135072101731353,-5.04913641570242,4.43811744204263e-07,0.000189590141348908
"TREX2",54.7511024663805,1.79222636461209,0.355602371556377,5.03997303721005,4.65597437518713e-07,0.000190351752372234
"CRCT1",1672.93108849066,3.12334618456409,0.62468628938849,4.99986351168609,5.73709121949206e-07,0.000203802980676393
"DOM",63.5074843521028,2.34730136222848,0.468179325968643,5.01368008374144,5.33987428979758e-07,0.000203802980676393
"SCNN1G",146.567027927573,2.06153772876563,0.410992397272067,5.01599966921271,5.27584192136356e-07,0.000203802980676393
"CITED4",1050.5496377205,1.2014546048526,0.240319535596895,4.99940465459238,5.75076004276585e-07,0.000203802980676393
"BRCA1",944.987542665737,-0.727518341226396,0.145519189180553,-4.99946670485999,5.74890980289663e-07,0.000203802980676393
"GPR1",85.585853391692,1.55947758605773,0.312636339930218,4.98815200563635,6.0959597623574e-07,0.000208651943679945
"LCE3D",735.977027950983,3.15852838282532,0.635708844078903,4.96851414329748,6.74678801581016e-07,0.000211274948971689
"RDH12",156.294342798229,2.34174315645228,0.470984521940061,4.97201722639687,6.62598159994216e-07,0.000211274948971689
"MYBBP1A",2139.37155179509,-0.621646792459237,0.124959583865494,-4.97478283161037,6.53208281625732e-07,0.000211274948971689
"NUP188",3972.72117063273,-0.604067015079983,0.121486009039378,-4.97231755209098,6.61572222036367e-07,0.000211274948971689
"LYPD5",583.029530015022,1.6879207813185,0.34006164640248,4.96357292618869,6.92080377308969e-07,0.000212209145692363
"FLJ10517",1843.09797521231,-0.786564373741935,0.158912318419612,-4.9496752773123,7.43374044731494e-07,0.000223285289599145
"FFAR2",26.4455295916122,1.59189866916456,0.322854206957584,4.93070443208969,8.19336225157371e-07,0.000241179811237324
"LCE3E",168.080186171806,2.97042323340333,0.6046388953216,4.91272271166644,8.98202644449286e-07,0.000259210716098129
"C6orf17",46.6510289080579,2.01732490510727,0.411837903488177,4.89834686904962,9.66463140783068e-07,0.000266432073677984
"DHRS1",513.433366969624,0.978660562780026,0.199585622072072,4.90346224652707,9.41620470389361e-07,0.000266432073677984
"HIP1",1347.82438668886,-0.907398169838952,0.185330501743718,-4.89610809500606,9.77533087281639e-07,0.000266432073677984
"CASC5",758.444786473472,-0.83189012917056,0.170039374270319,-4.89233821719472,9.96450167643386e-07,0.00026665006486137
"LMNB2",3912.27075152365,-0.668455556915512,0.136797981959356,-4.88644311371578,1.02673975255577e-06,0.000269849208537782
"METRNL",935.466725152458,1.13095627038898,0.231954546793789,4.8757667656087,1.08386611668551e-06,0.000279865640445216
"RNASE7",438.609726149565,2.35911205425053,0.484316101138319,4.87101719043772,1.11025178720203e-06,0.000281735962138611
"CLEC10A",32.8732693443252,1.62143629495092,0.334103251159105,4.85309942158799,1.21546716208715e-06,0.000303207554094892
"MDC1",1258.14283709875,-0.601740214604638,0.124371273690283,-4.83825723376549,1.30982553069677e-06,0.000321300202679917
"OLR1",205.413563054705,1.7831642483795,0.369357425543476,4.82774712260282,1.38086281297164e-06,0.000333172768546175
"GTSE1",528.398155331256,-0.723075793343026,0.150024068743215,-4.81973192302004,1.437512530873e-06,0.000341246926280464
"NDC80",510.193513158919,-0.958821174711385,0.199412026256727,-4.8082414722419,1.52263776799646e-06,0.000350159104208937
"AKTIP",423.138387554427,0.622087475606868,0.129371973564822,4.80851809294825,1.52053268855316e-06,0.000350159104208937
"FAM72A",63.3699188264173,-0.878238024815507,0.183414784267703,-4.78826190768611,1.68232000373229e-06,0.000375157360832301
"CEP55",1278.92187355617,-0.723423261432724,0.15134502197406,-4.7799607281217,1.75329439452374e-06,0.000385149058188066
"METTL4",369.827661922262,-0.795304758565897,0.167127424639552,-4.75867297232127,1.94869859403893e-06,0.000412390309468053
"FAM46B",681.300533305827,1.63295974347272,0.344191221201199,4.74433873639724,2.09188549487996e-06,0.000418719653769272
"CPEB2",865.669308083324,0.926770942038116,0.195507715534557,4.74032924738618,2.13371205548956e-06,0.000418719653769272
"NUP155",1482.05094602948,-0.736138084023936,0.155288823911452,-4.74044471122849,2.13249639564798e-06,0.000418719653769272
"MCM4",3528.12639083551,-0.698027978953608,0.147088179634543,-4.74564292445483,2.07845090911929e-06,0.000418719653769272
"CRKL",4116.77134188946,-0.686190024218346,0.144947416336736,-4.73406178295872,2.20070688859812e-06,0.000426184262978778
