Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.2H.A9GF	0.029933820924667	0	0	0	0	0.19716624187698	0	0.0137328014912745	0.0907298138201828	0	0.0976756234368528	0	0.0268994284765245	0.427077683509787	0.0266796007410029	0.0426816082652491	0	0	0.047423377457479	0	0	0	9999	0.0863377766829196	1.09400239674377
TCGA.2H.A9GG	0.150700467667197	0	0.0611910630776097	0.0659743578177548	0	0.290644087037354	0	0.117489218377901	0.0263904872643882	0	0.0106226610140284	0.0138851687742363	0.0139032655578465	0	0.0569027321625201	0.137238309203728	0.0232870998842311	0.00372245717051062	0.0280486249906947	0	0	0	9999	0.0506410978695977	1.0729473741571
TCGA.2H.A9GH	0.0546844830153536	0	0.000573973243226198	0.0216517760816536	0	0.306638675697636	0	0.0477638727335099	0.0365865615146029	0	0.038045024937737	0.00238796219464296	0.0101710061837536	0	0.000229190845734923	0.34393339094935	0.0186860660511682	0.0591654405071774	0	0.0529117088817408	0	0.00657086716271262	9999	0.0266612697627576	1.08354032589563
TCGA.2H.A9GI	0.0229048303729573	0	0.0852274365723616	0	0	0.332325180960531	0	0.00860901587602646	0.202458707659172	0	0.0648905933263912	0	0	0.00596563265437957	0	0.101932569295594	0	0.076318866255849	0	0.0979909508838343	0	0.00137621614290311	9999	0.0615211190054136	1.07316707440852
TCGA.2H.A9GJ	0.0234029371618618	0	0.0649947859134756	0.0066459460984421	0	0.336272977350595	0	0.0338889744647832	0.049659585932407	0	0.0265638693516274	0.0303080545812019	0.0300406951554983	0	0	0.0529478301525953	0	0.0814947072730802	0	0.263779636564433	0	0	9999	-9.38872515583553e-05	1.1036216147988
TCGA.2H.A9GK	0	0.00899787724279606	0.0180646807956586	0.0183784248430031	0	0.297078696060651	0	0.0579005892688195	0.0831402676410239	0	0.0454982792008038	0	0.00158993624540747	0	0	0.0747474005534895	0.0421417862339804	0.139165541429456	0	0.21329652048491	0	0	9999	0.168962114059852	1.02673864819716
TCGA.2H.A9GL	0.0960810000407413	0	0	0	0	0.257233112909521	0.0149021721386445	0.137018143124679	0.0600621225757053	0	0.0542056925024419	0	0.0215181475870889	0.0711600303676519	0.0539768530108725	0.137321390099408	0	0.0153981214932351	0.0811232141500093	0	0	0	9999	0.0405658081456682	1.06965164087601
TCGA.2H.A9GM	0.0234242128402835	0	0.0115795271961011	0	0	0.350938942293928	0	0.086864957842022	0.0800907013984623	0	0.0174791807780373	0.0160451460826752	0.00648469402486489	0.118803391204232	0.0341925281277814	0.0855800350417192	0	0.0473768715500085	0	0.121139811619885	0	0	9999	0.0348748636240189	1.085419534753
TCGA.2H.A9GN	0.00753042219410036	0	0	0	0	0.325959686123643	0	0.042896228594105	0.0144927626664364	0	0	0.0249613118216023	0.0127938351480648	0.0252073039020894	0.0599057039821704	0.0836290337100904	0	0.0361748917510489	0	0.342944569923539	0	0.02350425018311	9999	-0.0187360738167121	1.13364619496138
TCGA.2H.A9GO	0	0.0201422255637526	0	0	0	0.187077441815647	0	0.107740847688572	0.0551063619109996	0	0	0.0514045328015352	0	0	0	0.082554464264334	0	0.117659570079187	0	0.342469106592144	0	0.0358454492838294	9999	0.0272671839993489	1.10850132925206
TCGA.2H.A9GQ	0.0992199536906407	0	0.00582785317376208	0	0	0.227408760241637	0	0.102033221900146	0.0434302159616419	0	0	0.0501887592465529	0	0.166403704548303	0	0.101292109953951	0	0.105089126542759	0	0.0991062947406064	0	0	9999	-0.0467669097961597	1.11038349074701
TCGA.2H.A9GR	0.0747718019764545	0.0315816563694199	0.030966172060749	0.0271393237593347	0	0.20443530004967	0	0.0958997577434818	0.0951498105727915	0	0.0161955623602509	0.0298923347063738	0.0217438680511245	0	0.0314498758533332	0.11249234762937	0.010445892031609	0.0394776936576737	0	0.178358603178363	0	0	9999	0.0552576030407735	1.06382237287733
TCGA.IC.A6RE	0.122820665214949	0	0.0035142659459039	0.0545653100033542	0	0.162766459041811	0	0.0990840927737445	0.122254147159562	0	0.0335654450417617	0.00321318855005264	0.0373885451427685	0.0346523333883787	0.00351425473797925	0.137201804799664	0	0.0822342988376844	0.103225189362387	0	0	0	9999	0.0114798229442184	1.07655407867856
TCGA.IC.A6RF	0.202729097355729	0.0221387225354923	0	0	0	0.0919371840796044	0.00987966471401994	0.116285202654002	0.00827732530620525	0	0.0612942624508783	0	0.0289415482945286	0.127299067093566	0.0886623126526537	0.0413960987521168	0	0.0498757781712367	0	0.151283735939967	0	0	9999	0.0774679973368127	1.05639525266364
TCGA.IG.A3I8	0.0212069645394391	0	0.0239852734728383	0	0	0.23121193286776	0	0.0910884922821519	0.0360478948941007	0	0	0.0571070283407488	0.00917432011391486	0.0498520645645612	0	0.114767948538715	0.0413870281732012	0.0978183738339568	0	0.203158983069037	0.0231936953095754	0	9999	0.00432317272632985	1.08712886929863
TCGA.IG.A3QL	0	0	0.00814451546016907	0	0	0.200425470375019	0	0.0927289179616153	0.0260757064097979	0	0	0.0472710557809724	0.0313192622373936	0.279177586048814	0.0247393161172576	0.0436160228153482	0	0.0207070370125992	0	0.214361405798947	0.0114337039820668	0	9999	-0.00512495325275368	1.12235256622376
TCGA.IG.A3YA	0.103893237265678	0	0	0	0	0.199337172101207	0	0.0626439950270266	0.0347481696753179	0	0	0.0176201216242438	0.00572504225827806	0.257024690103013	0.0422224521290306	0.146923805878505	0	0.116832049908457	0	0.0130292640292428	0	0	9999	0.314866141280189	0.962827621234425
TCGA.IG.A3YB	0	0.0025980291128854	0	0.10656457157287	0	0.14126606242882	0.0142617466184037	0.1066831862217	0.0659233111496473	0	0.0305743074301767	0.00176278593375196	0.020054952904411	0	0.0619252266291493	0.291400310897148	0.0411605003891993	0.0502530875683203	0.0655719211435174	0	0	0	9999	0.143997475255446	1.03031195045479
TCGA.IG.A3YC	0.00595154850356756	0	0.0111513107262251	0.114075930261584	0	0.0868457707303852	0.00441418954798848	0.125388774522877	0.0737927082238206	0	0.0135475951225081	0.04022827732432	0.00956586442625037	0.307999577855566	0.0494174991080702	0.130669512666634	0	0.011636265739102	0.015315175241102	0	0	0	9999	0.503083623321975	0.86346466418206
TCGA.IG.A4P3	0.0122023007778221	0.0679015940118173	0	0.114510837592066	0	0.123018632694808	0.0044006709793069	0.142181370736258	0.0695304366868149	0	0.00421761506755727	0.0242927214121377	0.00726743890227938	0.0194748766092084	0.0632743113522088	0.0869266159340616	0	0.0927733843716339	0	0.16802719287202	0	0	9999	0.208479449953271	1.0053682310116
TCGA.IG.A4QS	0.00779556453632967	0	0.0031795082899646	0.0814694581460306	0	0.155660333701824	0.0200714935517019	0.0889069112601369	0.0278997497937144	0	0	0.043325218590362	0.00534226671719801	0.0837477115337756	0.0607799404736886	0.314830177857382	0	0	0	0.106991665547891	0	0	9999	0.0105091782091927	1.09409197365685
TCGA.IG.A4QT	0.139701277202854	0.164877141684349	0	0.100854555770685	0	0.141121270648287	0.00709259021620409	0.0418086074669624	0.122947425915303	0	0.056469752800773	0	0.00424158149686901	0.0849644921695507	0.0237043165572777	0.103551191345761	0	0	0.00866579672512428	0	0	0	9999	0.466027779997148	0.883979520523202
TCGA.IG.A51D	0.0340133866077419	0	0.0334448315414817	0.0868883584046094	0	0.136804775005176	0.0165021496692531	0.093777823774448	0	0	0	0.0972688733883889	0	0.130931606096897	0.200368322318892	0.164033846124166	0	0	0	0.00596602706894532	0	0	9999	0.196311715157445	1.02759016914349
TCGA.IG.A5S3	0.0645731075056873	0	0.00798290845200969	0	0	0.238772323465764	0	0.192057727889903	0.0339730668521433	0	0	0.0550357310914499	0.0525328196342617	0.138373307324438	0.0706619421424589	0	0	0.00728297287454991	0.118588956579636	0	0.0201651361876981	0	9999	0.039826245054121	1.07503663754835
TCGA.IG.A625	0.0462469042611598	0	0.00190381074443445	0	0	0.231044552085972	0	0.120422660762384	0.0207381741814448	0	0.0207824328998111	0.00559873765087345	0.0327011814261774	0.0488085997436162	0.0493017931169557	0.162485448889739	0.0226278213111011	0.0794249395245299	0.150021242029157	0	0.00789170137264464	0	9999	0.0334860192872159	1.06674290462042
TCGA.IG.A6QS	0.000771715714816129	0	0.00955110826193744	0.0606592305237777	0	0.232624190799609	0.00201554067625303	0.0400629432259784	0	0	0.00494891817782705	0.102613145801228	0.0163756405638621	0.130275296243088	0.175986636508548	0.0584696633100294	0	0.0143860373808465	0	0.1512599328122	0	0	9999	0.28341881325203	0.983069318596841
TCGA.IG.A7DP	0.0367344258877598	0.00256042284330499	0	0.193659723615733	0	0.0862259875840681	0.000627201540222228	0.0986254125168003	0.149957577888095	0	0.0230275424603789	0.0380019698827078	0.0235499491104899	0.0566047434642996	0.162272856162091	0.104716234927939	0	0.0122859174727056	0.0111500346434043	0	0	0	9999	0.454325363876028	0.89163690210675
