index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	104850768	149881398	114419760	114525552	113501475	117440984	39	MIR548AC,ATP1A1OS,U3|ENSG00000221040.1,SNORA42|ENSG00000207502.1,RN7SL420P,RN7SL432P,DENND2C,BCL2L15,LRIG2,AMPD1,ATP1A1,CASQ2,CD2,CD58,IGSF3,NGF,NHLH2,NRAS,SYCP1,TSHB,CSDE1,TSPAN2,BCAS2,AP4B1,PHTF1,PTPN22,TRIM33,RSBN1,SLC22A15,OLFML3,DCLRE1B,SIKE1,VANGL1,MAB21L3,SYT6,HIPK1,MAGI3,C1orf137,MIR320B1,	5	BCL2L15,AP4B1,OLFML3,DCLRE1B,HIPK1,	[Not Available]	[Not Available]	[Not Available]	0	1p13.2	8.8025e-06
2	1	246037516	246037558	245911962	247047609	245293033	247047609	7	SNORA25|ENSG00000252011.1,SNORD112|ENSG00000252495.1,SCCPDH,KIF26B,TFB2M,SMYD3,CNST,	6	SNORA25|ENSG00000252011.1,SNORD112|ENSG00000252495.1,SCCPDH,TFB2M,SMYD3,CNST,	[Not Available]	[Not Available]	[Not Available]	0	1q44	0.0006282
3	1	23845963	31520295	27089566	27093657	23968919	31650819	138	SNORD85,SNORD103B,SNORD103A,SDC3,RN7SKP91,MIR4420,SCARNA24|ENSG00000252777.1,RNU11,RAB42,SNORD99,SNHG12,snoU13|ENSG00000238821.1,SNORA73B,RNU6ATAC27P,RN7SL559P,SCARNA1,GPN2,ZDHHC18,RN7SL165P,RN7SL501P,snoU13|ENSG00000238316.1,RN7SL679P,MIR1976,HMGN2,RN7SL490P,AIM1L,SH3BGRL3,ZNF593,SCARNA18|ENSG00000252691.1,SCARNA17|ENSG00000252190.1,MAN1C1,snoU13|ENSG00000238889.1,SYF2,snoU13|ENSG00000238986.1,RN7SL857P,snoU13|ENSG00000238538.1,RN7SL24P,RN7SL532P,RUNX3,CD52,RCC1,CNR2,EPB41,EXTL1,EYA3,FGR,FUCA1,IFI6,GALE,SFN,GPR3,HMGCL,STMN1,MATN1,OPRD1,PAFAH2,PPP1R8,PTAFR,RHCE,RHD,RPA2,RPL11,RPS6KA1,SRSF4,SLC9A1,TAF12,TCEB3,SLC30A2,LAPTM5,ARID1A,SNHG3,NR0B2,FCN3,MAP3K6,THEMIS2,PUM1,PTPRU,WASF2,SRRM1,CNKSR1,GMEB1,NUDC,SRSF10,RCAN3,LYPLA2,DNAJC8,WDTC1,TMEM50A,STX12,CLIC4,LDLRAP1,AHDC1,SMPDL3B,MECR,YTHDF2,MED18,TRNAU1AP,XKR8,TMEM57,PNRC2,PIGV,MTFR1L,C1orf63,PITHD1,NIPAL3,SEPN1,GRHL3,IL22RA1,GPATCH3,CEP85,PHACTR4,AUNIP,LIN28A,FAM110D,DHDDS,SESN2,TMEM222,TRIM63,SYTL1,STPG1,UBXN11,ATPIF1,FAM46B,C1orf172,MYOM3,PDIK1L,IFNLR1,PAQR7,FAM76A,ZNF683,CATSPER4,TRNP1,CD164L2,TMEM200B,NCMAP,MIR3917,MIR4425,MIR378F,	1	RN7SL501P,	[Not Available]	[Not Available]	[Not Available]	0	1p36.11	0.0012162
4	2	141036079	142751983	140981064	142891872	140782681	143627097	2	RN7SL283P,LRP1B,	1	LRP1B,	[Not Available]	[Not Available]	[Not Available]	0	2q22.1	1.1171e-27
5	2	205574898	206454114	205402747	206486027	204828802	206546283	1	PARD3B,	1	PARD3B,	[Not Available]	[Not Available]	[Not Available]	0	2q33.3	6.9949e-07
6	3	47905026	93740692	59705135	61237398	59705135	61026351	2	U3|ENSG00000212211.1,NPCDR1,	3	U3|ENSG00000212211.1,NPCDR1,FHIT,	[Not Available]	[Not Available]	[Not Available]	0	3p14.2	6.9854e-22
7	3	174689948	174692035	174150425	175759770	174348889	175759770	3	snoU13|ENSG00000271842.1,MIR4789,RN7SKP40,	4	snoU13|ENSG00000271842.1,MIR4789,RN7SKP40,NAALADL2,	[Not Available]	[Not Available]	[Not Available]	0	3q26.31	0.00066738
8	3	47905026	93740692	90485962	93734671	90079763	93758441	3	U3|ENSG00000212598.1,PROS1,STX19,	1	PROS1,	[Not Available]	[Not Available]	[Not Available]	0	3q11.1	6.4878e-07
9	3	47905026	93740692	54154652	55115481	53926647	55499664	3	ESRG,CACNA2D3,LRTM1,	3	ESRG,CACNA2D3,LRTM1,	[Not Available]	[Not Available]	[Not Available]	0	3p14.3	8.8275e-10
10	3	2212571	4874498	3742364	4509080	3225428	4533158	3	SETMAR,LRRN1,SUMF1,	3	SETMAR,LRRN1,SUMF1,	[Not Available]	[Not Available]	[Not Available]	0	3p26.2	7.5581e-06
