rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	99243	19	19	18	1	3	4	1	0	11	0	4.77e-15	0.0618	0.214	0.000702	0.00340	6.66e-16	4.62e-12
2	TP53	tumor protein p53	230983	174	153	104	1	46	28	17	16	64	3	1.44e-15	<1.00e-15	0.000	0.000	0.000	<1.00e-15	<4.62e-12
3	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	324938	18	16	14	0	0	6	4	6	2	0	4.96e-13	0.0300	0.000	1.80e-06	0.000	<1.00e-15	<4.62e-12
4	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	274401	2	2	2	1	0	1	0	0	1	0	0.303	0.744	0.658	0.000	0.000	<1.00e-15	<4.62e-12
5	DCDC1	doublecortin domain containing 1	197249	18	16	18	2	1	5	5	3	4	0	6.71e-14	0.156	0.218	0.502	0.325	7.08e-13	2.62e-09
6	IVL	involucrin	324427	16	15	16	0	1	3	8	3	1	0	8.62e-11	0.0347	0.000771	0.460	0.00182	4.77e-12	1.47e-08
7	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	273237	15	15	12	1	3	3	2	1	6	0	4.99e-11	0.181	0.0399	0.00523	0.00994	1.45e-11	3.84e-08
8	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	600336	21	19	13	0	0	13	3	4	1	0	1.56e-10	0.0111	0.0508	0.0901	0.0313	1.32e-10	3.05e-07
9	ZNF804B	zinc finger protein 804B	666910	24	21	24	1	2	6	10	5	1	0	7.99e-12	0.0138	0.631	0.890	0.825	1.76e-10	3.62e-07
10	FBXW7	F-box and WD repeat domain containing 7	462539	14	13	12	0	2	1	2	3	6	0	2.07e-07	0.0778	0.00550	0.110	0.00885	3.87e-08	7.16e-05
11	SMAD4	SMAD family member 4	308138	14	13	13	1	2	5	0	1	6	0	7.70e-09	0.143	0.202	0.522	0.300	4.83e-08	8.11e-05
12	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	42039	3	3	1	0	0	3	0	0	0	0	0.00200	0.377	0.000535	0.00197	1.06e-05	3.96e-07	0.000609
13	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	435666	16	14	16	1	3	2	7	4	0	0	1.56e-07	0.0582	0.752	0.0796	0.328	9.09e-07	0.00129
14	ZNF268	zinc finger protein 268	88052	7	7	7	1	0	5	0	1	1	0	9.95e-07	0.514	NaN	NaN	NaN	9.95e-07	0.00131
15	ZNF750	zinc finger protein 750	401233	10	10	10	0	1	1	1	0	7	0	5.63e-05	0.105	0.0386	0.00513	0.00145	1.41e-06	0.00174
16	SOX11	SRY (sex determining region Y)-box 11	144176	8	8	7	1	0	1	4	0	3	0	9.29e-07	0.778	0.492	0.109	0.349	5.17e-06	0.00596
17	LRFN5	leucine rich repeat and fibronectin type III domain containing 5	395063	12	12	12	0	3	5	1	2	1	0	3.75e-07	0.0420	0.788	0.575	1.000	5.92e-06	0.00644
18	NLGN1	neuroligin 1	445078	10	10	10	0	1	2	5	0	2	0	2.86e-05	0.0544	0.0115	0.202	0.0158	7.06e-06	0.00725
19	ANKRD30A	ankyrin repeat domain 30A	695013	15	15	15	1	2	3	7	1	2	0	2.54e-06	0.0757	0.216	0.283	0.258	9.99e-06	0.00962
20	OR4C16	olfactory receptor, family 4, subfamily C, member 16	167332	8	8	8	1	0	1	6	1	0	0	3.28e-06	0.357	0.117	0.955	0.209	1.04e-05	0.00962
21	OR5D13	olfactory receptor, family 5, subfamily D, member 13	173801	8	8	7	0	0	4	3	0	1	0	2.36e-06	0.0826	0.184	1.000	0.406	1.43e-05	0.0125
22	CSMD1	CUB and Sushi multiple domains 1	1927495	31	27	31	0	7	5	8	1	10	0	5.30e-06	0.000125	0.139	0.393	0.200	1.57e-05	0.0131
23	CCDC7	coiled-coil domain containing 7	265749	12	10	12	0	0	7	1	1	3	0	2.26e-06	0.1000	0.239	0.842	0.508	1.69e-05	0.0136
24	MMP16	matrix metallopeptidase 16 (membrane-inserted)	368206	11	11	11	1	3	5	0	3	0	0	1.80e-06	0.258	0.559	0.798	0.767	2.00e-05	0.0154
25	DPP10	dipeptidyl-peptidase 10	463302	14	12	14	1	1	4	3	2	4	0	3.37e-06	0.108	0.351	0.799	0.471	2.28e-05	0.0168
26	FOXG1	forkhead box G1	195289	10	10	9	1	4	1	5	0	0	0	3.27e-06	0.194	0.252	0.576	0.542	2.53e-05	0.0179
27	GRXCR1	glutaredoxin, cysteine rich 1	162015	7	7	7	0	2	0	1	0	4	0	7.52e-06	0.106	0.792	0.0779	0.255	2.71e-05	0.0181
28	TPTE	transmembrane phosphatase with tensin homology	321398	10	10	10	0	1	2	2	1	4	0	5.44e-06	0.110	0.210	0.245	0.357	2.74e-05	0.0181
29	UNC13C	unc-13 homolog C (C. elegans)	1176742	23	21	23	2	2	5	10	3	3	0	9.55e-06	0.0696	0.132	0.382	0.234	3.13e-05	0.0200
