index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	234648298	235525253	234950727	234986228	234930171	235015550	1	RNY4P16,	1	RNY4P16,	[Not Available]	[Not Available]	[Not Available]	1	1q42.3	8.2636e-05
2	1	39576917	41666929	40381453	40407954	40264332	40567134	5	MYCL,PPT1,CAP1,TRIT1,MFSD2A,	0	[MFSD2A]	[Not Available]	[Not Available]	[Not Available]	1	1p34.2	0.0024624
3	1	158887317	162497028	161288540	161325999	120527361	171980635	551	SCARNA20|ENSG00000253060.1,RN7SL425P,snoU13|ENSG00000238859.1,RN7SL269P,RN7SL333P,C1orf112,F5,RNA5SP66,LINC00970,LINC00626,ANKRD36BP1,SFT2D2,MIR1255B2,snoU13|ENSG00000238325.1,RNA5SP65,POGK,MIR921,RNA5SP64,UCK2,TMCO1,SNORD112|ENSG00000252359.1,U3|ENSG00000212538.1,RNA5SP63,RNA5SP62,SNORD112|ENSG00000252740.1,RN7SL861P,C1orf111,MIR556,RNA5SP61,MIR4654,RN7SL466P,RPL31P11,FCGR2C,SDHC,MIR5187,ADAMTS4,ACA64|ENSG00000238934.1,F11R,DCAF8,KCNJ9,SNORD64|ENSG00000212161.1,OR10J4,RNA5SP60,RN7SL612P,MIR765,snoU13|ENSG00000238843.1,BGLAP,SNORA26|ENSG00000252236.1,SCARNA4|ENSG00000252808.1,SNORA42|ENSG00000207475.1,snoU13|ENSG00000238805.1,MIR555,GBAP1,EFNA3,MIR4258,SNORD59|ENSG00000252682.1,SNORA58|ENSG00000201129.1,C1orf189,RN7SL431P,MIR5698,U3|ENSG00000252669.1,snoU13|ENSG00000238511.1,RN7SL372P,RN7SL44P,S100A7L2,SPRR2B,SNORA31|ENSG00000252920.1,LINC00302,NBPF18P,THEM4,LINGO4,CELF3,MIR554,SNORA44,RNY4P25,RN7SL444P,MLLT11,SNORA40|ENSG00000253047.1,RN7SL600P,RN7SL473P,C1orf138,LINC00568,snoU13|ENSG00000238526.1,RN7SL480P,OTUD7B,HIST2H3A,HIST2H2AA3,HIST2H3C,FAM72C,FCGR1C,RNA5SP59,NBPF15,RNA5SP58,NBPF24,RN7SL261P,ACP6,LINC00624,HYDIN2,RNA5SP57,PDZK1P1,RNF115,NUDT17,GNRHR2,NBPF10,SEC22B,RN7SKP88,LINC00623,NBPF8,SRGAP2B,ANKRD20A12P,FCGR1B,HIST2H2BA,ADAR,ALDH9A1,APCS,APOA2,ARNT,ATP1A2,ATP1A4,ATP1B1,BCL9,CASQ1,CD1A,CD1B,CD1C,CD1D,CD1E,CD247,CD5L,CD48,CHRNB2,CKS1B|ENSG00000173207.8,CLK2,COPA,CRABP2,CRP,CTSK,CTSS,DPT,ECM1,EFNA1,EFNA3,EFNA4,ENSA,ETV3,FCER1A,FCER1G,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FDPS,FLG,FMO1,FMO2,FMO3,FMO4,FMO5,DARC,GBA,GJA5,GJA8,HDGF,HSPA6,IFI16,IL6R,ILF2,INSRR,IVL,KCNJ10,KCNN3,LMNA,LMX1A,LOR,LY9,MCL1,SMCP,MEF2D,MGST3,MNDA,MPZ,MTX1,MUC1,MYOC,NDUFS2,NHLH1,NIT1,NOTCH2,NPR1,NTRK1,DDR2,PBX1,PDZK1,PFDN2,PI4KB,PKLR,PRRX1,POU2F1,PPOX,PRCC,PRKAB2,PSMB4,PSMD4,PEX19,RAB13,RFX5,RGS4,RIT1,RORC,RPS27,RXRG,S100A1,S100A2,S100A3,S100A4,S100A5,S100A6,S100A7,S100A8,S100A9,S100A10,S100A11,S100A12,S100A13,XCL1,SELE,SELL,SELP,SHC1,SLAMF1,UAP1,SPRR1A,SPRR1B,SPRR2A,SPRR2D,SPRR2E,SPRR2F,SPRR2G,SPRR3,SPTA1,SSR2,XCL2,VPS72,THBS3,TCHH,TPM3,CCT3,TUFT1,USF1,DAP3,HIST2H2AC,HIST2H2BE,HIST2H4A,PIP5K1A,TAGLN2,ANXA9,RGS5,ITGA10,BLZF1,VAMP4,PEA15,B4GALT3,ADAM15,PEX11B,CREG1,CD84,SELENBP1,MPZL1,SH2D2A,TBX19,PRPF3,ARHGEF2,DEDD,AIM2,CHD1L,PDE4DIP,SLC25A44,NOS1AP,ARHGEF11,SETDB1,UBAP2L,SV2A,DENND4B,RBM8A,NR1I3,SCAMP3,GPA33,SF3B4,PIAS3,HAX1,C1orf61,SEMA6C,SLC19A2,POLR3C,TXNIP,PMVK,FAM189B,NES,JTB,MTMR11,SLC27A3,TDRKH,CD160,PMF1,DUSP12,VPS45,KIAA0907,KIFAP3,ATF6,POGZ,SYT11,PRRC2C,RPRD2,SMG5,NCSTN,GPR161,SNAPIN,RUSC1,CA14,CCDC19,NBPF14,MPC2,OLFML2B,C1orf43,DNM3,CHTOP,LCE2B,OR10J1,USP21,SLC39A1,LAMTOR2,TMOD4,NME7,CERS2,CRNN,DCAF8,F11R,BOLA1,ZBTB7B,RRNAD1,APH1A,PLEKHO1,GPR89B,HSD17B7,UFC1,METTL13,OAZ3,CD244,DPM3,MRPS21,ADAMTSL4,CRCT1,GON4L,GPATCH4,DUSP23,C1orf56,MSTO1,GOLPH3L,KIRREL,YY1AP1,UBE2Q1,ITLN1,FAM63A,ADCY10,DCAF6,ASH1L,LENEP,SLC50A1,SLAMF8,CDC42SE1,UBQLN4,RAB25,PGLYRP4,RHBG,SCYL3,ATP8B2,VANGL2,PBXIP1,S100A14,GATAD2B,CGN,IGSF9,ZNF687,HCN3,CCDC181,SLAMF7,CADM3,PRUNE,HAPLN2,BCAN,SEMA4A,MRPL9,INTS3,SCNM1,FCRL2,MRPL24,TNFAIP8L2,C1orf54,PAQR6,TRIM46,MROH9,TARS2,FLAD1,OR6N2,OR6K2,PVRL4,SNX27,ANP32E,ISG20L2,FCRL5,FCRL4,NUF2,HORMAD1,TOMM40L,POLR3GL,TMEM79,LCE3D,FCRLA,MAEL,AQP10,SLAMF9,PYGO2,NUP210L,DUSP27,RCSD1,MEX3A,METTL18,GORAB,PIGM,IGSF8,C1orf85,PGLYRP3,SLAMF6,FCRL1,FCRL3,FMO9P,TADA1,SH2D1B,GABPB2,TCHHL1,RPTN,TDRD10,SHE,KLHDC9,OR10J5,DCST2,UHMK1,FCRLB,LIX1L,TSACC,IQGAP3,APOA1BP,OR10T2,OR6P1,OR10X1,OR10Z1,OR6K6,OR6N1,S100A16,ITLN2,CREB3L4,C1orf51,HFE2,ANKRD35,NBPF12,LELP1,DCST1,METTL11B,FAM78B,BNIPL,LRRC71,PYHIN1,SPRR4,PPIAL4A,TTC24,LCE4A,NBPF11,KRTCAP2,CRTC2,LCE5A,ARHGAP30,C1orf192,TIPRL,RIIAD1,THEM5,NBPF16,ANKRD34A,C1orf204,HIST2H2AB,S100A7A,RXFP4,C1orf110,OR10R2,FCRL6,LCE1A,LCE1B,LCE1C,LCE1D,LCE1E,LCE1F,LCE2A,LCE2C,LCE2D,LCE3A,LCE3B,LCE3C,LCE3E,PEAR1,ILDR2,NOTCH2NL,LYSMD1,HRNR,FLG2,FMO6P,VHLL,OR10K2,OR10K1,OR6Y1,OR6K3,VSIG8,C1orf226,NBPF9,HIST2H2BF,ETV3L,LRRC52,OR10J3,KPRP,LCE6A,HIST2H4B,PRR9,PPIAL4G,PPIAL4D,PPIAL4B,GPR89A,PPIAL4C,HIST2H3D,FAM72B,PCP4L1,MIR557,MIR92B,HIST2H2AA4,FAM72D,GPR89C,MIR190B,C1orf68,TSTD1,C2CD4D,NBPF20,MIR1295A,MIR4257,	1	SDHC,	[Not Available]	[Not Available]	[Not Available]	1	1q23.3	0.0022446
4	2	117937902	122778115	122269775	122357991	117472242	123224400	30	snoU13|ENSG00000238341.1,RNU4ATAC,TMEM185B,snoU13|ENSG00000238368.1,PCDP1,RN7SL468P,RN7SL111P,HTR5BP,DBI,EN1,GLI2,INHBB,PTPN4,RALB,SCTR,TSN,MARCO,DDX18,CLASP1,TFCP2L1,INSIG2,CCDC93,STEAP3,EPB41L5,TMEM177,MKI67IP,FLJ14816,C2orf76,TMEM37,C1QL2,	2	RNU4ATAC,CLASP1,	[Not Available]	[Not Available]	[Not Available]	1	2q14.2	0.0043633
5	2	173045372	173414260	173058147	173071238	173036819	173412444	1	ITGA6,	0	[snoU13|ENSG00000238572.1]	[Not Available]	[Not Available]	[Not Available]	1	2q31.1	0.034927
6	3	136217174	197538677	169490229	169494053	169479584	169744235	8	TERC,SEC62,MYNN,LRRC31,ACTRT3,LRRC34,LRRIQ4,SAMD7,	2	MYNN,ACTRT3,	[Not Available]	[Not Available]	[Not Available]	1	3q26.2	2.8915e-20
7	4	73906335	74162994	74123138	74157348	73136151	77631425	50	MIR548AH,MIR4450,SNORD50|ENSG00000199857.1,CDKL2,BTC,PPBPP2,RN7SL218P,PPBP,PF4,PF4V1,SNORA3|ENSG00000221639.1,RNU6ATAC5P,RNU4ATAC9P,AFM,AFP,ALB,AREG,ART3,SCARB2,EREG,CXCL1,CXCL2,CXCL3,IL8,CXCL10,CXCL9,PPEF2,CXCL6,CXCL11,CXCL5,USO1,ADAMTS3,G3BP2,PARM1,RCHY1,ANKRD17,NAAA,NUP54,SDAD1,SHROOM3,THAP6,C4orf26,RASSF6,EPGN,COX18,CCDC158,MTHFD2L,AREGB,FAM47E,FAM47E,	2	SNORA3|ENSG00000221639.1,ANKRD17,	[Not Available]	[Not Available]	[Not Available]	1	4q13.3	0.11705
8	5	914233	1892759	914233	919520	914233	935091	16	ZDHHC11B,CCDC127,LRRC14B,PLEKHG4B,SDHA,SLC9A3,TRIP13,PDCD6,TPPP,EXOC3,CEP72,AHRR,BRD9,ZDHHC11,C5orf55,MIR4456,	16	ZDHHC11B,CCDC127,LRRC14B,PLEKHG4B,SDHA,SLC9A3,TRIP13,PDCD6,TPPP,EXOC3,CEP72,AHRR,BRD9,ZDHHC11,C5orf55,MIR4456,	[Not Available]	[Not Available]	[Not Available]	1	5p15.33	0.00042289
9	6	38638292	47617654	43735986	43746927	43657329	43845007	1	VEGFA,	1	VEGFA,	[Not Available]	[Not Available]	[Not Available]	1	6p21.1	9.6697e-14
10	6	135506844	135715970	135507502	135639983	135501355	135715473	3	MYB,AHI1,MIR548A2,	3	MYB,AHI1,MIR548A2,	[Not Available]	[Not Available]	[Not Available]	1	6q23.3	0.20377
